model,variant,question_id,difficulty,position,run,raw_response,extracted_answer,score,needs_manual_review,input_tokens,output_tokens,latency_ms
haiku-4.5,baseline,EQ01,easy,early,1,"January 15, 2025","January 15, 2025",1.0,False,18537,10,972
haiku-4.5,baseline,EQ01,easy,early,2,"January 15, 2025","January 15, 2025",1.0,False,18537,10,783
haiku-4.5,baseline,EQ01,easy,early,3,"January 15, 2025","January 15, 2025",1.0,False,18537,10,598
haiku-4.5,baseline,EQ01,easy,early,4,"January 15, 2025","January 15, 2025",1.0,False,18537,10,15997
haiku-4.5,baseline,EQ01,easy,early,5,"January 15, 2025","January 15, 2025",1.0,False,18537,10,20923
haiku-4.5,baseline,EQ02,easy,early,1,"February 1, 2025","February 1, 2025",1.0,False,18539,10,21733
haiku-4.5,baseline,EQ02,easy,early,2,"February 1, 2025","February 1, 2025",1.0,False,18539,10,21047
haiku-4.5,baseline,EQ02,easy,early,3,"February 1, 2025","February 1, 2025",1.0,False,18539,10,19953
haiku-4.5,baseline,EQ02,easy,early,4,"February 1, 2025","February 1, 2025",1.0,False,18539,10,21322
haiku-4.5,baseline,EQ02,easy,early,5,"February 1, 2025","February 1, 2025",1.0,False,18539,10,20004
haiku-4.5,baseline,EQ03,easy,early,1,Three (3) years,3 years,1.0,False,18538,8,21732
haiku-4.5,baseline,EQ03,easy,early,2,Three (3) years,3 years,1.0,False,18538,8,20440
haiku-4.5,baseline,EQ03,easy,early,3,Three (3) years,3 years,1.0,False,18538,8,20085
haiku-4.5,baseline,EQ03,easy,early,4,Three (3) years,3 years,1.0,False,18538,8,20965
haiku-4.5,baseline,EQ03,easy,early,5,Three (3) years,3 years,1.0,False,18538,8,21337
haiku-4.5,baseline,EQ04,easy,early,1,"$2,500,000.00","$2,500,000",1.0,False,18539,11,19885
haiku-4.5,baseline,EQ04,easy,early,2,"The General Liability Cap under the Master Services Agreement is **$2,500,000.00** (Two Million Five Hundred Thousand Dollars).","$2,500,000",1.0,False,18539,35,20822
haiku-4.5,baseline,EQ04,easy,early,3,"The General Liability Cap under the Master Services Agreement is **Two Million Five Hundred Thousand Dollars ($2,500,000.00)**.","$2,500,000",1.0,False,18539,34,20291
haiku-4.5,baseline,EQ04,easy,early,4,"The General Liability Cap under the Master Services Agreement is $2,500,000.00 (Two Million Five Hundred Thousand Dollars).","$2,500,000",1.0,False,18539,34,21269
haiku-4.5,baseline,EQ04,easy,early,5,"$2,500,000.00","$2,500,000",1.0,False,18539,11,20146
